                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.31752,                0.37766,                 1.0591,                0.91291,                0.91095,                0.93041,                0.90758,                0.23634,                0.38684,                0.82901,               0.001981,               0.001981,               0.001981
                     83,                0.31574,                0.37284,                 1.0546,                0.90812,                0.91383,                0.93059,                0.90749,                0.23628,                 0.3871,                0.82917,               0.001882,               0.001882,               0.001882
                     84,                0.31227,                0.36804,                 1.0552,                0.90931,                0.91203,                0.93041,                 0.9071,                0.23686,                0.38832,                0.82995,               0.001783,               0.001783,               0.001783
                     85,                0.31403,                0.36677,                 1.0624,                0.90915,                 0.9124,                0.93034,                 0.9072,                0.23734,                0.38829,                 0.8306,               0.001684,               0.001684,               0.001684
                     86,                0.31051,                0.36262,                 1.0543,                0.91325,                0.90919,                0.93009,                0.90676,                0.23734,                 0.3887,                0.83049,               0.001585,               0.001585,               0.001585
                     87,                0.30778,                0.35273,                 1.0472,                 0.9087,                0.91329,                0.93025,                0.90701,                0.23717,                 0.3897,                0.83009,               0.001486,               0.001486,               0.001486
                     88,                0.30646,                0.35403,                 1.0484,                0.90947,                0.91321,                0.93022,                0.90701,                0.23705,                0.39074,                 0.8298,               0.001387,               0.001387,               0.001387
                     89,                0.30652,                0.34753,                   1.05,                0.90994,                0.91276,                0.93007,                0.90716,                0.23735,                0.39205,                0.83018,               0.001288,               0.001288,               0.001288
                     90,                0.30243,                0.34165,                 1.0447,                0.90958,                0.91144,                0.92984,                0.90647,                0.23751,                0.39289,                0.83038,               0.001189,               0.001189,               0.001189
                     91,                0.17794,                0.19835,                0.95813,                0.90955,                0.91114,                0.92978,                0.90647,                0.23735,                0.39503,                0.83027,                0.00109,                0.00109,                0.00109
                     92,                0.17442,                0.18575,                0.95344,                0.90385,                0.91656,                0.92962,                0.90639,                0.23769,                0.39618,                0.83065,               0.000991,               0.000991,               0.000991
                     93,                 0.1697,                0.18041,                0.95005,                0.90687,                0.91263,                0.92962,                0.90632,                0.23775,                0.39771,                 0.8312,               0.000892,               0.000892,               0.000892
                     94,                0.16659,                0.17092,                0.94969,                0.90659,                0.91329,                0.92939,                0.90608,                0.23707,                 0.3988,                0.83083,               0.000793,               0.000793,               0.000793
                     95,                0.16294,                0.16373,                0.94433,                 0.9035,                0.91607,                0.92932,                0.90603,                0.23687,                0.39932,                0.83081,               0.000694,               0.000694,               0.000694
                     96,                0.15845,                0.15385,                0.94054,                0.90283,                0.91657,                 0.9292,                0.90589,                0.23679,                0.39983,                0.83131,               0.000595,               0.000595,               0.000595
                     97,                0.15649,                0.15213,                0.94183,                0.90091,                0.91467,                0.92874,                0.90546,                0.23674,                0.40058,                0.83163,               0.000496,               0.000496,               0.000496
                     98,                0.15372,                0.14843,                0.93947,                0.90039,                0.91638,                0.92867,                0.90561,                0.23671,                0.40248,                 0.8322,               0.000397,               0.000397,               0.000397
                     99,                0.15147,                 0.1436,                0.93726,                0.90074,                0.91581,                0.92861,                0.90544,                0.23703,                0.40366,                0.83281,               0.000298,               0.000298,               0.000298
                    100,                0.14924,                0.13959,                  0.935,                 0.9021,                0.91413,                0.92846,                0.90519,                0.23728,                0.40561,                0.83347,               0.000199,               0.000199,               0.000199
